player_name,minutes,games,goals,npg,position,team_title,league,season,source,wc_goals,wc_apps,wc_starts,wc_shots_on,wc_adj_g90,wc_note
Harry Kane,2625.0,34,34.833,25.25,F M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,3,3,3,6,1.1943,wc:3G/0A in 3app
Lionel Messi,1444.0,19,18.0,17.0,F S,Inter Miami,MLS,2026,custom+espn_wc2026,6,3,2,9,1.1219,custom+wc:6G/0A in 3app
Ousmane Dembélé,1574.0,28,18.583,17.0,F S,Paris Saint Germain,Ligue_1,"2026,2025,2024",understat+espn_wc2026,4,3,3,5,1.0626,wc:4G/1A in 3app
Kylian Mbappe-Lottin,2988.0,35,31.5,23.917,F S,Real Madrid,La_liga,"2026,2025,2024",understat+espn_wc2026,4,3,3,9,0.9488,wc:4G/2A in 3app
Erling Haaland,3039.0,35,28.917,25.917,F S,Manchester City,EPL,"2026,2025,2024",understat+espn_wc2026,4,2,2,7,0.8564,wc:4G/0A in 2app
Marko Arnautovic,665.0,21,6.0,6.0,F S,Inter,Serie_A,"2026,2025,2024",understat+espn_wc2026,2,3,1,3,0.812,wc:2G/0A in 3app
Ayase Ueda,2034.0,27,18.0,16.0,F S,Feyenoord,Eredivisie,2026,custom+espn_wc2026,2,3,3,3,0.7965,custom+wc:2G/1A in 3app
Patrik Schick,2052.0,32,18.083,15.333,F M S,Bayer Leverkusen,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,3,2,1,0.7931,wc:0G/0A in 3app
Deniz Undav,2125.0,31,17.833,17.833,F M S,VfB Stuttgart,Bundesliga,"2026,2025,2024",understat+espn_wc2026,3,3,0,4,0.7553,wc:3G/2A in 3app
Ferrán Torres,1771.0,33,13.5,13.5,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,0,3,1,2,0.6861,wc:0G/0A in 3app
Ahmadou Bamba Dieng,957.0,21,7.083,6.083,F S,Lorient,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.6661,wc:0G/0A in 1app
Ismael Saibari,2334.0,31,17.0,16.0,M S,PSV Eindhoven,Eredivisie,2026,custom+espn_wc2026,3,3,3,3,0.6555,custom+wc:3G/0A in 3app
Ermedin Demirovic,1883.0,32,13.25,12.667,F S,VfB Stuttgart,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,3,3,2,0.6333,wc:0G/0A in 3app
Raphinha,2179.0,30,15.083,12.5,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,2,2,0.623,wc:0G/0A in 2app
